Y,customerid,prob
0,DTC30406_0,0.2677576243877411
0,DTCV0007_0,0.09900032728910446
0,DTCV0009_0,0.08636140078306198
0,DTCV0013JYSFGS_0,0.15537649393081665
0,DTCV0015ASFGS_0,0.0455755814909935
0,DTCV0024GZFGS_0,0.12178051471710205
0,DTCV0025JAFGS_0,0.34851616621017456
0,DTCV0030SYFGS1_0,0.1293552815914154
0,DTCV003201_0,0.18878109753131866
0,DTCV0040ZZFGS_0,0.18611334264278412
0,DTCV0056WFFGS_0,0.6962162852287292
0,DTCV0092_0,0.07569737732410431
0,DTCV0105_0,0.053438588976860046
0,DTCV0110_0,0.26078030467033386
0,DTCV0342_0,0.3962855339050293
0,DTCV0343HMFGS_0,0.15310202538967133
0,DTCV0406_0,0.4019823968410492
0,DTCV0419_0,0.3425503671169281
0,DTCV0505_0,0.34038734436035156
0,DTCV0616_0,0.5486664772033691
0,DTCV0725_0,0.2646591067314148
0,DTCV0917_0,0.37798696756362915
0,DTCV1103_0,0.12873408198356628
0,DTCV1109_0,0.45240890979766846
0,DTCV1119_0,0.31335726380348206
0,DTCV1142_0,0.2253286987543106
0,DTCV1405_0,0.11292891204357147
0,DTCV1503_0,0.1946682333946228
0,DTCV160201_0,0.38915154337882996
0,DTCV1603_0,0.2609693706035614
0,DTCV1606_0,0.6431348919868469
0,DTCV1611_0,0.17726102471351624
0,DTCV1740LSFGS_0,0.08958619832992554
0,DTCV1743_0,0.582236647605896
0,DTCV1816_0,0.40816590189933777
0,DTCV1818_0,0.13268163800239563
0,DTCV1831_0,0.3466114401817322
0,DTCV1904_0,0.16714762151241302
0,DTCV1916_0,0.15747667849063873
0,DTCV2021_0,0.2855587303638458
0,DTCV2105_0,0.4325276017189026
0,DTCV2207_0,0.32863280177116394
0,DTCV2219_0,0.37987422943115234
0,DTCV2402_0,0.23223896324634552
0,DTCV2406_0,0.5589521527290344
0,DTCV2512_0,0.596442699432373
0,DTCV2517_0,0.39900487661361694
0,DTCV3001_0,0.2854478061199188
0,DTDV1704_0,0.20660105347633362
0,DTFC0005HPFGS_0,0.056151408702135086
0,DTFC0006_0,0.13049596548080444
0,DTFC0020_0,0.03316926583647728
0,DTFC0407_0,0.28251805901527405
0,IMMIIMD063_0,0.35471484065055847
0,IMMIMD00701_0,0.04592366889119148
0,IMMIMD01101_0,0.2876601219177246
0,IMMIMD021_0,0.34222930669784546
0,IMMIMD029_0,0.5396733283996582
0,IMMIMD037_0,0.6016823053359985
0,IMMIMD055_0,0.3479866683483124
0,IMMIMD064_0,0.6699002385139465
0,IMMIMD905_0,0.44389620423316956
0,IMMIMD923_0,0.17422138154506683
0,IMMIMD925_0,0.5847817659378052
0,IMMIMD936_0,0.5570080280303955
0,IMMIMD941_0,0.3352065980434418
0,IMMIMD961_0,0.44303780794143677
0,IMMIMM027_0,0.5849004983901978
0,IMMIMM072_0,0.3737142086029053
0,SMCFFSR2019_0,0.34116384387016296
0,SMCFFSR2033_0,0.671980082988739
0,SMCFFSR2508_0,0.19735978543758392
0,SMCFFSR2511_0,0.30400705337524414
0,SMCFFSR3107_0,0.2881505787372589
