Y,customerid,prob
0,DTCV0045HHFGS_0,0.21309712102169295
0,DTCV0097_0,0.11572340876782981
0,DTCV0099_0,0.05282096936349036
0,DTCV0315_0,0.09096616922092325
0,DTCV0323_0,0.0643016963221725
0,DTCV0329_0,0.16712605630935057
0,DTCV0333_0,0.25862111083662215
0,DTCV0336_0,0.10319168620038052
0,DTCV0404_0,0.17827731411711412
0,DTCV0412_0,0.07908508823423013
0,DTCV0417_0,0.09817016026176784
0,DTCV0418_0,0.5862011430183757
0,DTCV0420_0,0.5117421542959686
0,DTCV0434_0,0.09822519868896122
0,DTCV0507_0,0.17839736581286522
0,DTCV0523_0,0.49872571729247006
0,DTCV0816_0,0.19939385465829873
0,DTCV0822_0,0.2538253949176499
0,DTCV0911_0,0.04254109893808612
0,DTCV0922_0,0.49143962002299163
0,DTCV1132_0,0.11099127230514848
0,DTCV120301_0,0.20520092540999896
0,DTCV1206SYFGS_0,0.40360358104192073
0,DTCV130201_0,0.08525664281748795
0,DTCV1403_0,0.05160210095479706
0,DTCV1409_0,0.7210435287432465
0,DTCV1410_0,0.2868596463463471
0,DTCV1505_0,0.0786944194213505
0,DTCV1612_0,0.14226989752367838
0,DTCV1613_0,0.1990145913995037
0,DTCV1704_0,0.01781096823781935
0,DTCV1715_0,0.10051866393338525
0,DTCV1723_0,0.2813065039244974
0,DTCV1738_0,0.1938334485019574
0,DTCV1748_0,0.08288462188046349
0,DTCV1802_0,0.07665540282096543
0,DTCV180302_0,0.09021203983438406
0,DTCV1809_0,0.14964857947740232
0,DTCV1813_0,0.04971074517778331
0,DTCV1822_0,0.053141650074047427
0,DTCV1823_0,0.10178364010882052
0,DTCV1828_0,0.03915981057468348
0,DTCV1833_0,0.05459055105747469
0,DTCV1835_0,0.1567227171525407
0,DTCV1908_0,0.34016891721150416
0,DTCV1920_0,0.041430606983941215
0,DTCV2007_0,0.17536365625143216
0,DTCV2015_0,0.32180891190929994
0,DTCV2017_0,0.11207734710114908
0,DTCV2022_0,0.35082477555240993
0,DTCV2025_0,0.46555253509618877
0,DTCV2029_0,0.23482527748606813
0,DTCV2036_0,0.10217856204077852
0,DTCV2213_0,0.19821817097895503
0,DTCV2304_0,0.11181055132132975
0,DTCV2414_0,0.12130867128934551
0,DTCV2602_0,0.3692010969054469
0,DTCV2810_0,0.10703791292395921
0,DTCV3319_0,0.3068243727322025
0,DTCV3504_0,0.09643711980143621
0,DTD20305_0,0.06087126048462172
