Y,customerid,prob
0,DTCV0045HHFGS_0,0.35772833228111267
0,DTCV0097_0,0.22792257368564606
0,DTCV0099_0,0.17585693299770355
0,DTCV0315_0,0.25899121165275574
0,DTCV0323_0,0.21095764636993408
0,DTCV0329_0,0.19998297095298767
0,DTCV0333_0,0.23099535703659058
0,DTCV0336_0,0.1912361979484558
0,DTCV0404_0,0.22097058594226837
0,DTCV0412_0,0.25495555996894836
0,DTCV0417_0,0.26240986585617065
0,DTCV0418_0,0.4350084364414215
0,DTCV0420_0,0.3886813521385193
0,DTCV0434_0,0.18935111165046692
0,DTCV0507_0,0.25229310989379883
0,DTCV0523_0,0.4438324570655823
0,DTCV0816_0,0.3109782934188843
0,DTCV0822_0,0.3023627698421478
0,DTCV0911_0,0.17104671895503998
0,DTCV0922_0,0.34314605593681335
0,DTCV1132_0,0.1992621123790741
0,DTCV120301_0,0.3455083966255188
0,DTCV1206SYFGS_0,0.36730530858039856
0,DTCV130201_0,0.19187237322330475
0,DTCV1403_0,0.1752818375825882
0,DTCV1409_0,0.5061256885528564
0,DTCV1410_0,0.3686513304710388
0,DTCV1505_0,0.21640008687973022
0,DTCV1612_0,0.2700367569923401
0,DTCV1613_0,0.30396947264671326
0,DTCV1704_0,0.083710215985775
0,DTCV1715_0,0.24149318039417267
0,DTCV1723_0,0.32513201236724854
0,DTCV1738_0,0.2545279860496521
0,DTCV1748_0,0.22207781672477722
0,DTCV1802_0,0.24121034145355225
0,DTCV180302_0,0.23934119939804077
0,DTCV1809_0,0.27930566668510437
0,DTCV1813_0,0.1428416520357132
0,DTCV1822_0,0.13404808938503265
0,DTCV1823_0,0.2210346758365631
0,DTCV1828_0,0.1313978135585785
0,DTCV1833_0,0.19559742510318756
0,DTCV1835_0,0.28687262535095215
0,DTCV1908_0,0.36880290508270264
0,DTCV1920_0,0.15574951469898224
0,DTCV2007_0,0.27769502997398376
0,DTCV2015_0,0.3694843649864197
0,DTCV2017_0,0.2641751170158386
0,DTCV2022_0,0.3289928436279297
